,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
286,Bayer Leverkusen,0,0.60,6,1,5,16.50,0.29,Hoffenheim,3,2.31,14,8,1,12.52,2.58
287,Bayer Leverkusen,2,1.85,12,6,8,4.29,1.98,RasenBallsport Leipzig,3,1.13,11,4,9,6.78,0.78
288,Bayer Leverkusen,1,3.31,15,6,13,5.07,2.87,Freiburg,1,0.60,10,2,3,12.47,0.09
289,Bayer Leverkusen,3,2.21,16,9,16,11.35,2.12,Hertha Berlin,1,1.19,7,3,2,12.82,0.63
290,Hoffenheim,1,1.76,13,4,5,9.50,1.95,Bayer Leverkusen,0,0.99,16,7,3,15.27,0.82
291,RasenBallsport Leipzig,1,1.51,14,5,7,6.86,2.13,Bayer Leverkusen,0,0.63,14,3,6,10.07,0.62
292,Freiburg,2,1.05,11,5,7,12.54,1.20,Bayer Leverkusen,1,1.15,11,4,5,7.80,1.46
293,Hertha Berlin,2,3.78,14,5,9,7.61,1.03,Bayer Leverkusen,6,4.42,16,11,12,7.92,1.77
294,Hertha Berlin,2,0.87,15,5,10,13.88,1.80,Freiburg,1,0.36,8,2,1,27.15,0.82
295,Hoffenheim,1,2.78,23,7,8,11.45,2.84,Hertha Berlin,0,0.25,5,2,5,10.19,0.10
296,RasenBallsport Leipzig,2,1.64,16,8,12,5.66,2.56,Hertha Berlin,0,0.20,3,0,2,15.71,0.27
297,Freiburg,2,0.62,11,4,4,24.94,1.36,Hertha Berlin,1,0.53,11,2,5,6.36,1.21
298,Hertha Berlin,1,0.27,5,3,3,12.67,0.02,Hoffenheim,3,3.17,28,8,10,7.82,2.96
299,Hertha Berlin,1,0.23,6,1,4,10.61,0.10,RasenBallsport Leipzig,4,2.56,14,8,6,5.93,2.84
300,Hoffenheim,2,2.43,14,4,4,9.90,2.48,Freiburg,1,0.86,13,6,7,8.46,0.36
301,Freiburg,1,0.68,9,3,3,12.22,0.46,RasenBallsport Leipzig,4,1.91,16,7,7,9.50,2.34
302,Freiburg,1,1.15,6,4,7,15.04,0.94,Hoffenheim,1,1.60,23,7,7,11.18,1.71
303,RasenBallsport Leipzig,4,1.19,13,6,5,6.35,1.82,Freiburg,0,0.69,11,2,7,13.35,0.87
304,Hoffenheim,2,1.16,11,5,7,6.33,0.53,RasenBallsport Leipzig,2,2.48,23,9,7,11.04,2.28
305,RasenBallsport Leipzig,2,1.48,14,5,12,4.42,1.91,Hoffenheim,1,0.79,5,2,3,13.00,0.78
