,H_datetime,H_gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,H_Throw-in,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,A_Throw-in,H_cat,gameurl
242,09.11.2022 18:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",FC Koln,0,55,11,4,7,,6,3,0,0,6,1,,237,187,,78,31,,09.11.2022 18:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Bayer Leverkusen,2,45,5,2,3,,5,1,0,4,6,2,,188,131,,38,26,,cat8,https://www.flashscore.com/match/4EzHGN4h/#/match-summary/match-statistics/2
243,09.11.2022 18:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",FC Koln,1,62,6,3,3,,2,3,0,1,3,,,303,261,,56,19,,09.11.2022 18:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Bayer Leverkusen,0,38,5,1,4,,3,0,1,2,1,,,209,167,,38,8,,cat9,https://www.flashscore.com/match/4EzHGN4h/#/match-summary/match-statistics/1
244,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Union Berlin,0,58,8,2,6,,5,2,1,0,4,0,,202,171,,68,39,,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Augsburg,0,42,1,0,1,,5,1,0,2,6,1,,132,89,,44,20,,cat10,https://www.flashscore.com/match/MkoCH3kn/#/match-summary/match-statistics/2
245,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Union Berlin,2,54,10,4,6,,2,4,1,0,3,1,,186,136,,64,20,,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Augsburg,2,46,6,2,4,,3,2,0,2,4,3,,126,89,,35,8,,cat11,https://www.flashscore.com/match/MkoCH3kn/#/match-summary/match-statistics/1
246,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Schalke,0,48,5,1,4,,8,0,1,0,9,2,,151,104,,53,26,,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Mainz,0,52,6,0,6,,9,2,1,1,10,1,,180,130,,56,29,,cat12,https://www.flashscore.com/match/pWf1eDYq/#/match-summary/match-statistics/2
247,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Schalke,1,48,8,3,5,,5,1,1,1,7,1,,144,94,,47,14,,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Mainz,0,52,5,1,4,,6,4,0,2,7,0,,177,120,,51,21,,cat13,https://www.flashscore.com/match/pWf1eDYq/#/match-summary/match-statistics/1
248,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",RB Leipzig,3,55,10,8,2,,8,2,1,0,5,1,,253,213,,41,13,,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Freiburg,1,45,3,1,2,,5,1,0,5,9,2,,177,143,,37,10,,cat14,https://www.flashscore.com/match/ran8Iqzt/#/match-summary/match-statistics/2
249,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",RB Leipzig,0,59,8,0,8,,9,4,0,1,4,0,,271,238,,51,24,,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Freiburg,0,41,1,1,0,,4,1,0,0,12,2,,180,146,,37,16,,cat15,https://www.flashscore.com/match/ran8Iqzt/#/match-summary/match-statistics/1
250,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Eintracht Frankfurt,1,46,5,2,3,,11,1,1,1,5,0,,232,190,,43,16,,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Hoffenheim,1,54,10,2,8,,7,4,1,1,10,3,,258,209,,63,48,,cat16,https://www.flashscore.com/match/IHvLFsKb/#/match-summary/match-statistics/2
251,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Eintracht Frankfurt,3,50,10,6,4,,13,3,1,0,4,,,262,215,,55,19,,09.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Hoffenheim,1,50,2,1,1,,5,1,1,3,12,,,214,169,,62,8,,cat17,https://www.flashscore.com/match/IHvLFsKb/#/match-summary/match-statistics/1
252,11.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",B. Monchengladbach,1,48,7,2,5,,6,1,0,2,7,,,177,139,,28,17,,11.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Dortmund,0,52,7,2,5,,3,3,1,1,7,,,255,221,,55,30,,cat0,https://www.flashscore.com/match/n9faGEA9/#/match-summary/match-statistics/2
253,11.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",B. Monchengladbach,3,41,4,4,0,,5,1,3,6,5,1,,191,166,,20,13,,11.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Dortmund,2,59,13,8,5,,6,6,1,1,5,2,,301,274,,62,47,,cat1,https://www.flashscore.com/match/n9faGEA9/#/match-summary/match-statistics/1
254,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Werder Bremen,1,52,4,3,1,,4,0,0,1,6,1,,229,188,,66,27,,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",RB Leipzig,1,48,10,2,8,,8,1,0,2,4,1,,190,161,,57,20,,cat2,https://www.flashscore.com/match/v7Zw9W2q/#/match-summary/match-statistics/2
255,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Werder Bremen,0,44,3,2,1,,5,0,1,0,8,0,,232,204,,54,15,,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",RB Leipzig,1,56,4,1,3,,9,3,1,2,4,1,,305,265,,54,16,,cat3,https://www.flashscore.com/match/v7Zw9W2q/#/match-summary/match-statistics/1
256,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Hoffenheim,0,66,13,1,12,,5,2,1,0,7,0,,245,208,,61,38,,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Wolfsburg,1,34,2,1,1,,7,0,0,1,8,2,,101,63,,40,14,,cat4,https://www.flashscore.com/match/IZkeHfe3/#/match-summary/match-statistics/2
257,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Hoffenheim,1,51,9,7,2,,3,5,1,1,8,0,,214,178,,53,32,,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Wolfsburg,1,49,4,2,2,,9,1,2,6,3,1,,195,150,,46,22,,cat5,https://www.flashscore.com/match/IZkeHfe3/#/match-summary/match-statistics/1
258,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Hertha Berlin,1,42,8,4,4,,7,5,1,1,10,3,,172,121,,65,21,,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",FC Koln,0,58,2,1,1,,11,3,2,3,6,1,,233,182,,59,20,,cat6,https://www.flashscore.com/match/8Or8EhuM/#/match-summary/match-statistics/2
259,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Hertha Berlin,1,50,9,4,5,,5,5,1,1,5,,,187,155,,56,22,,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",FC Koln,0,50,8,1,7,,6,2,1,3,4,,,191,153,,49,22,,cat7,https://www.flashscore.com/match/8Or8EhuM/#/match-summary/match-statistics/1
260,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Bayer Leverkusen,1,39,5,1,4,,8,2,1,0,9,2,,166,131,,26,15,,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Stuttgart,0,61,5,0,5,,7,1,3,0,5,2,,295,261,,87,26,,cat8,https://www.flashscore.com/match/vgf5fXmj/#/match-summary/match-statistics/2
261,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Bayer Leverkusen,1,49,6,2,4,,4,2,0,1,2,0,,256,215,,51,22,,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Stuttgart,0,51,2,1,1,,2,1,0,1,5,1,,256,218,,49,14,,cat9,https://www.flashscore.com/match/vgf5fXmj/#/match-summary/match-statistics/1
262,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Augsburg,0,56,14,2,12,,6,4,2,2,4,1,,203,145,,61,28,,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Bochum,1,44,7,3,4,,6,1,2,2,5,1,,156,100,,69,20,,cat10,https://www.flashscore.com/match/Qag3FYPF/#/match-summary/match-statistics/2
263,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Augsburg,0,52,5,3,2,,5,2,0,1,8,,,157,93,,49,23,,12.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Bochum,0,48,4,1,3,,8,1,1,3,4,,,156,105,,65,20,,cat11,https://www.flashscore.com/match/Qag3FYPF/#/match-summary/match-statistics/1
264,12.11.2022 18:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Schalke,0,32,3,1,2,,4,2,0,3,3,,,142,99,,23,15,,12.11.2022 18:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Bayern Munich,1,68,11,4,7,,3,2,1,1,3,,,346,311,,84,22,,cat12,https://www.flashscore.com/match/MRnCDCfS/#/match-summary/match-statistics/2
265,12.11.2022 18:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Schalke,0,34,3,1,2,,1,2,1,1,4,,,122,88,,24,10,,12.11.2022 18:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Bayern Munich,1,66,11,2,9,,4,3,0,1,1,,,311,280,,75,36,,cat13,https://www.flashscore.com/match/MRnCDCfS/#/match-summary/match-statistics/1
266,13.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Mainz,0,41,10,1,9,,7,2,0,2,6,1,,135,93,,53,21,,13.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Eintracht Frankfurt,1,59,5,3,2,,6,2,2,1,4,1,,252,204,,57,38,,cat14,https://www.flashscore.com/match/vqiiIztc/#/match-summary/match-statistics/2
267,13.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Mainz,1,39,9,5,4,,5,3,1,0,6,1,,176,128,,74,29,,13.11.2022 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Eintracht Frankfurt,0,61,5,0,5,,7,0,1,4,4,1,,244,198,,50,9,,cat15,https://www.flashscore.com/match/vqiiIztc/#/match-summary/match-statistics/1
268,13.11.2022 17:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Freiburg,0,79,1,0,1,,2,1,0,1,7,0,,455,419,,94,28,,13.11.2022 17:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Union Berlin,1,21,3,2,1,,5,0,0,0,2,1,,109,81,,23,13,,cat16,https://www.flashscore.com/match/xvD8gi3d/#/match-summary/match-statistics/2
269,13.11.2022 17:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Freiburg,4,62,6,5,1,,4,1,0,0,6,,0,286,255,,55,15,,13.11.2022 17:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 15",Union Berlin,0,38,1,0,1,,5,1,0,1,7,,1,157,119,,44,7,,cat17,https://www.flashscore.com/match/xvD8gi3d/#/match-summary/match-statistics/1
270,20.01.2023 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",RB Leipzig,1,46,7,2,5,,6,2,1,1,10,1,,225,175,,51,16,,20.01.2023 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Bayern Munich,0,54,5,1,4,,12,1,0,1,6,2,,268,231,,69,29,,cat0,https://www.flashscore.com/match/b9ku7AXe/#/match-summary/match-statistics/2
271,20.01.2023 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",RB Leipzig,0,40,3,1,2,,6,1,2,0,7,1,,197,154,,50,16,,20.01.2023 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Bayern Munich,1,60,2,1,1,,9,1,2,1,6,1,,335,288,,65,12,,cat1,https://www.flashscore.com/match/b9ku7AXe/#/match-summary/match-statistics/1
272,21.01.2023 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Wolfsburg,3,56,7,6,1,,7,0,0,0,7,0,,283,253,,41,17,,21.01.2023 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Freiburg,0,44,4,0,4,,7,2,2,3,6,2,,193,155,,34,15,,cat2,https://www.flashscore.com/match/QLUwSB9L/#/match-summary/match-statistics/2
273,21.01.2023 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Wolfsburg,3,50,6,5,1,,7,0,0,1,4,1,,219,184,,46,10,,21.01.2023 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Freiburg,0,50,5,1,4,,2,3,2,2,6,0,,222,173,,44,31,,cat3,https://www.flashscore.com/match/QLUwSB9L/#/match-summary/match-statistics/1
274,21.01.2023 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Union Berlin,3,60,17,5,12,,8,9,0,1,4,1,,250,199,,71,28,,21.01.2023 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Hoffenheim,0,40,2,1,1,,3,2,1,2,9,0,,147,108,,44,12,,cat4,https://www.flashscore.com/match/x0lq6Un2/#/match-summary/match-statistics/2
275,21.01.2023 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Union Berlin,0,42,6,0,6,,4,0,1,3,7,1,,166,134,,37,12,,21.01.2023 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Hoffenheim,1,58,8,4,4,,6,2,0,0,4,1,,259,225,,65,14,,cat5,https://www.flashscore.com/match/x0lq6Un2/#/match-summary/match-statistics/1
276,21.01.2023 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Stuttgart,0,59,10,1,9,,7,3,1,0,7,1,,272,229,,77,29,,21.01.2023 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Mainz,0,41,7,0,7,,7,2,0,1,7,3,,196,143,,35,14,,cat6,https://www.flashscore.com/match/d4L9MkXr/#/match-summary/match-statistics/2
277,21.01.2023 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Stuttgart,1,55,6,3,3,,10,0,0,1,8,,,271,238,,69,11,,21.01.2023 15:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 16",Mainz,1,45,5,2,3,,7,3,0,2,10,,,236,194,,43,22,,cat7,https://www.flashscore.com/match/d4L9MkXr/#/match-summary/match-statistics/1
