,H_datetime,H_Gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat,gameurl
39,26.08.2023 19:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Marseille,1,47,3,1,1,1,4,0,1,3,2,,,229,193,12,52,22,26.08.2023 19:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Brest,0,53,9,3,3,3,3,3,1,0,4,,,257,222,9,63,31,cat39,https://www.flashscore.com/match/Ic2OF7Kf/#/match-summary/match-statistics/1
40,26.08.2023 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",PSG,2,63,12,4,5,3,10,2,1,3,3,0,,347,320,8,62,29,26.08.2023 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Lens,1,37,6,4,2,0,4,2,1,2,11,3,,195,161,15,45,13,cat40,https://www.flashscore.com/match/UFEZC54D/#/match-summary/match-statistics/2
41,26.08.2023 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",PSG,1,69,5,3,1,1,4,3,0,0,5,0,,386,356,7,58,24,26.08.2023 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Lens,0,31,6,0,5,1,4,3,1,2,5,2,,163,128,14,42,20,cat41,https://www.flashscore.com/match/UFEZC54D/#/match-summary/match-statistics/1
42,27.08.2023 13:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Rennes,0,63,13,4,6,3,2,5,1,0,4,1,0,319,286,11,60,56,27.08.2023 13:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Le Havre,1,37,2,1,1,0,5,0,0,4,1,1,1,201,151,15,47,19,cat42,https://www.flashscore.com/match/jPFVDok7/#/match-summary/match-statistics/2
43,27.08.2023 13:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Rennes,2,59,9,4,3,2,8,0,1,1,1,0,,360,319,8,62,22,27.08.2023 13:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Le Havre,1,41,5,2,3,0,2,2,3,2,6,1,,239,207,13,44,18,cat43,https://www.flashscore.com/match/jPFVDok7/#/match-summary/match-statistics/1
44,27.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Strasbourg,2,36,7,2,4,1,11,2,0,1,6,0,,150,119,10,27,19,27.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Toulouse,0,64,3,1,1,1,8,2,1,0,10,3,,291,244,9,57,23,cat44,https://www.flashscore.com/match/bVxcU6Zm/#/match-summary/match-statistics/2
45,27.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Strasbourg,0,42,4,1,2,1,8,1,0,0,10,1,,205,172,8,45,16,27.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Toulouse,0,58,4,0,2,2,8,1,1,1,7,0,,288,238,10,49,12,cat45,https://www.flashscore.com/match/bVxcU6Zm/#/match-summary/match-statistics/1
46,27.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Montpellier,0,54,9,2,6,1,8,3,0,2,5,1,,194,128,8,51,47,27.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Reims,1,46,5,3,1,1,4,0,1,2,9,1,,173,118,17,50,16,cat46,https://www.flashscore.com/match/tfrhVnKs/#/match-summary/match-statistics/2
47,27.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Montpellier,1,48,10,1,4,5,11,2,0,1,4,,,177,137,5,45,17,27.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Reims,2,52,7,3,3,1,3,3,1,0,10,,,183,133,9,48,31,cat47,https://www.flashscore.com/match/tfrhVnKs/#/match-summary/match-statistics/1
48,27.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Clermont,0,72,5,2,2,1,10,5,1,2,3,1,,307,256,15,69,25,27.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Metz,1,28,5,3,2,0,4,2,2,2,7,1,,116,87,7,48,16,cat48,https://www.flashscore.com/match/dl1SERZ0/#/match-summary/match-statistics/2
49,27.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Clermont,0,72,11,2,5,4,4,5,0,2,5,,,346,312,12,71,22,27.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Metz,0,28,5,2,2,1,6,0,0,2,3,,,140,101,8,46,11,cat49,https://www.flashscore.com/match/dl1SERZ0/#/match-summary/match-statistics/1
50,27.08.2023 17:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Lorient,2,36,4,3,1,0,7,1,2,4,9,2,,168,130,10,37,14,27.08.2023 17:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Lille,1,64,12,5,4,3,8,6,0,1,7,2,,281,241,12,57,47,cat50,https://www.flashscore.com/match/WKhIyksE/#/match-summary/match-statistics/2
51,27.08.2023 17:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Lorient,2,34,5,3,2,0,5,4,1,2,13,0,,150,119,11,27,15,27.08.2023 17:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Lille,0,66,6,2,1,3,14,2,0,1,5,2,,297,261,5,65,32,cat51,https://www.flashscore.com/match/WKhIyksE/#/match-summary/match-statistics/1
52,27.08.2023 20:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Nice,0,59,12,1,7,4,7,3,3,0,3,0,,227,191,10,59,25,27.08.2023 20:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Lyon,0,41,4,0,3,1,6,1,0,1,9,4,,160,118,10,39,8,cat52,https://www.flashscore.com/match/pOdMz9dK/#/match-summary/match-statistics/2
53,27.08.2023 20:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Nice,0,57,9,3,3,3,6,4,4,1,5,1,,287,250,7,65,27,27.08.2023 20:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Lyon,0,43,2,1,1,0,7,1,1,3,5,0,,215,173,6,43,19,cat53,https://www.flashscore.com/match/pOdMz9dK/#/match-summary/match-statistics/1
54,01.09.2023 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 4",Nantes,0,34,5,0,0,5,10,0,0,4,1,0,,155,116,12,40,12,01.09.2023 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 4",Marseille,0,66,13,4,6,3,1,5,0,0,9,1,,307,269,2,67,71,cat54,https://www.flashscore.com/match/WvL3mntQ/#/match-summary/match-statistics/2
55,01.09.2023 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 4",Nantes,1,40,5,2,2,1,4,2,2,4,6,0,1,193,165,4,40,14,01.09.2023 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 4",Marseille,1,60,13,5,6,2,9,2,0,1,4,1,0,295,262,7,57,22,cat55,https://www.flashscore.com/match/WvL3mntQ/#/match-summary/match-statistics/1
56,02.09.2023 17:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 4",Brest,0,49,3,1,0,2,7,1,0,1,11,2,,205,162,8,42,22,02.09.2023 17:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 4",Rennes,0,51,2,1,0,1,6,1,2,1,8,1,,215,176,7,56,19,cat56,https://www.flashscore.com/match/xMy1TQlf/#/match-summary/match-statistics/2
