,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
307,cat307,1,,60,,,4,,8,,5,0,0,0,,3,2,,Ferreira,,,20.01.2017 21:30,Primeira Liga - Round 18,cat307,2,,40,,,2,,7,,4,2,1,1,,3,1,,Moreirense,,,20.01.2017 21:30,Primeira Liga - Round 18
308,cat308,1,,49,,,4,,7,,8,0,3,3,,4,4,,FC Porto,,1,21.01.2017 17:00,Primeira Liga - Round 18,cat308,2,,51,,,3,,8,,5,1,1,0,,5,0,,Rio Ave,,1,21.01.2017 17:00,Primeira Liga - Round 18
309,cat309,1,,49,,,1,,10,,5,1,1,3,,1,4,,FC Porto,,1,21.01.2017 17:00,Primeira Liga - Round 18,cat309,2,,51,,,0,,11,,3,3,1,1,,1,2,,Rio Ave,,0,21.01.2017 17:00,Primeira Liga - Round 18
310,cat310,1,,43,,,1,,10,,3,0,0,1,,3,0,,Maritimo,,0,21.01.2017 19:15,Primeira Liga - Round 18,cat310,2,,57,,,1,,13,,4,0,1,2,,3,1,,Sporting,,2,21.01.2017 19:15,Primeira Liga - Round 18
311,cat311,1,,39,,,0,,10,,4,0,2,0,,0,4,,Maritimo,,,21.01.2017 19:15,Primeira Liga - Round 18,cat311,2,,61,,,3,,9,,3,2,1,1,,2,1,,Sporting,,,21.01.2017 19:15,Primeira Liga - Round 18
312,cat312,1,,69,,,6,,10,,8,2,0,1,,6,2,,Arouca,,2,21.01.2017 21:30,Primeira Liga - Round 18,cat312,2,,31,,,1,,8,,4,2,1,0,,1,3,,Boavista,,3,21.01.2017 21:30,Primeira Liga - Round 18
313,cat313,1,,61,,,7,,5,,2,1,1,1,,1,1,,Arouca,,,21.01.2017 21:30,Primeira Liga - Round 18,cat313,2,,39,,,3,,10,,3,0,1,0,,1,2,,Boavista,,,21.01.2017 21:30,Primeira Liga - Round 18
314,cat314,1,,40,,,2,,10,,4,1,0,0,,2,2,,Feirense,,3,22.01.2017 17:00,Primeira Liga - Round 18,cat314,2,,60,,,6,,8,,5,2,0,1,,4,1,,Estoril,,3,22.01.2017 17:00,Primeira Liga - Round 18
315,cat315,1,,55,,,4,,10,,3,1,1,1,,2,1,,Feirense,,0,22.01.2017 17:00,Primeira Liga - Round 18,cat315,2,,45,,,1,,9,,3,0,0,0,,2,1,,Estoril,,1,22.01.2017 17:00,Primeira Liga - Round 18
316,cat316,1,,66,,,4,,3,,13,1,4,3,0,6,7,,Benfica,,0,22.01.2017 17:00,Primeira Liga - Round 18,cat316,2,,34,,,1,,6,,1,3,0,2,1,0,1,,Tondela,,2,22.01.2017 17:00,Primeira Liga - Round 18
