,H_datetime,H_Gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat,gameurl
246,11.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Granada CF,0,47,6,3,2,1,5,2,2,3,9,3,,,,,48,13,11.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Getafe,0,53,7,3,3,1,11,5,1,3,4,1,,,,,54,35,cat246,https://www.flashscore.com/match/OSl3Qfr5/#/match-summary/match-statistics/2
247,11.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Granada CF,1,65,6,3,2,1,8,1,3,2,5,1,,,,,65,10,11.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Getafe,1,35,3,3,0,0,8,0,2,2,5,1,,,,,47,12,cat247,https://www.flashscore.com/match/OSl3Qfr5/#/match-summary/match-statistics/1
248,11.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Real Madrid,3,59,5,5,0,0,14,1,2,1,4,1,,,,,42,13,11.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Valencia,1,41,3,2,0,1,6,2,0,2,14,2,,,,,43,15,cat248,https://www.flashscore.com/match/YwdjTdbn/#/match-summary/match-statistics/2
249,11.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Real Madrid,2,53,11,2,6,3,12,3,2,2,3,0,,,,,60,31,11.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Valencia,0,47,7,2,3,2,6,2,0,0,12,1,,,,,39,26,cat249,https://www.flashscore.com/match/YwdjTdbn/#/match-summary/match-statistics/1
250,12.11.2023 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Barcelona,2,73,7,4,3,0,11,1,3,0,7,2,,,,,74,40,12.11.2023 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Alaves,0,27,3,0,2,1,10,1,2,2,9,1,,,,,49,8,cat250,https://www.flashscore.com/match/8GjFNhSN/#/match-summary/match-statistics/2
251,12.11.2023 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Barcelona,0,71,4,2,2,0,0,1,0,0,4,,,,,,86,51,12.11.2023 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Alaves,1,29,5,1,4,0,4,0,0,2,1,,,,,,38,10,cat251,https://www.flashscore.com/match/8GjFNhSN/#/match-summary/match-statistics/1
252,12.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Sevilla,1,63,10,3,5,2,7,5,2,2,6,,,,,,69,34,12.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Betis,1,37,8,3,5,0,8,3,0,2,7,,,,,,40,25,cat252,https://www.flashscore.com/match/2D0fSGDh/#/match-summary/match-statistics/2
253,12.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Sevilla,0,59,3,1,2,0,8,4,2,3,12,1,,,,,54,30,12.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Betis,0,41,6,3,0,3,16,2,1,1,7,1,,,,,40,15,cat253,https://www.flashscore.com/match/2D0fSGDh/#/match-summary/match-statistics/1
254,12.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Atl. Madrid,2,49,14,4,8,2,6,2,5,2,6,0,,,,,63,34,12.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Villarreal,0,51,4,2,2,0,11,1,0,2,7,1,,,,,48,9,cat254,https://www.flashscore.com/match/fmcnUxqt/#/match-summary/match-statistics/2
255,12.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Atl. Madrid,1,51,11,6,2,3,2,4,2,4,2,0,,,,,78,53,12.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Villarreal,1,49,7,5,1,1,6,2,1,5,1,1,,,,,34,12,cat255,https://www.flashscore.com/match/fmcnUxqt/#/match-summary/match-statistics/1
