,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
180,Reims,2,1.07,10,3,5,14.29,1.11,Guingamp,1,1.26,6,4,3,7.84,1.56
181,Lille,1,1.69,12,3,4,5.25,1.83,Reims,1,1.19,8,3,2,8.74,0.87
182,Reims,2,0.77,12,5,3,7.41,1.57,Strasbourg,1,0.49,5,3,2,8.38,1.02
183,Reims,2,1.74,19,11,7,4.56,2.44,Caen,2,0.41,7,2,6,11.04,0.37
184,Lyon,1,1.17,15,5,11,6.60,1.45,Reims,1,1.02,9,5,3,21.41,1.24
185,Guingamp,0,0.44,7,2,4,8.54,1.04,Reims,1,0.66,7,3,3,10.78,1.53
186,Reims,2,0.67,7,4,3,17.10,1.61,Rennes,0,0.40,10,1,7,7.12,0.96
187,Montpellier,2,1.49,19,4,8,7.90,0.99,Reims,4,1.98,15,8,5,11.69,1.76
188,Reims,2,1.21,10,4,4,9.50,0.60,Amiens,2,2.07,8,2,1,13.15,2.15
189,Dijon,1,0.83,5,1,0,11.08,0.23,Reims,1,2.87,26,5,12,6.05,2.64
190,Strasbourg,4,2.47,13,9,4,15.56,2.47,Reims,0,1.00,10,3,7,8.63,0.38
191,Reims,1,1.25,10,3,5,17.10,1.65,Lille,1,0.92,11,4,1,12.21,1.04
192,Reims,0,0.60,8,1,9,14.40,0.45,Saint-Etienne,2,1.74,14,3,2,13.20,2.34
193,Angers,1,0.69,10,5,9,12.54,1.73,Reims,1,0.28,5,4,2,13.88,0.84
194,Reims,0,0.37,8,2,3,7.72,0.23,Nimes,3,1.84,15,5,2,18.61,2.63
195,Caen,3,1.06,14,10,4,12.05,0.86,Reims,2,1.63,15,4,9,5.44,1.87
196,Bordeaux,0,0.60,13,4,3,10.12,0.38,Reims,1,1.76,9,2,4,19.89,2.42
197,Reims,3,0.86,10,6,2,20.75,0.82,Paris Saint Germain,1,1.42,13,2,10,16.31,1.85
198,Montpellier,1,1.34,17,7,11,9.88,0.86,Dijon,2,1.95,9,4,2,9.88,1.89
199,Amiens,1,1.11,11,2,4,7.71,2.25,Montpellier,2,0.31,7,3,3,16.56,0.47
200,Montpellier,0,0.42,14,1,2,11.72,1.40,Saint-Etienne,0,0.25,9,2,0,9.46,1.04
201,Montpellier,1,0.34,10,3,5,14.20,0.81,Strasbourg,1,0.76,7,1,5,8.00,1.79
202,Caen,2,0.81,11,3,5,17.08,0.41,Montpellier,2,2.03,16,6,6,11.04,2.39
203,Montpellier,3,2.65,19,6,8,6.21,2.53,Nimes,0,0.94,11,3,6,11.22,0.33
204,Guingamp,1,0.76,7,2,2,16.05,1.03,Montpellier,1,1.08,11,5,5,9.29,1.62
205,Montpellier,2,1.88,13,4,2,11.52,2.27,Bordeaux,0,0.82,12,3,5,21.80,0.52
206,Angers,1,1.17,11,3,1,22.12,2.23,Montpellier,0,0.27,10,3,1,7.93,0.49
207,Montpellier,2,2.46,15,4,2,11.32,2.13,Rennes,2,1.49,16,7,2,13.85,0.66
208,Montpellier,0,0.83,16,4,9,5.11,0.46,Lille,1,2.02,13,6,4,8.96,2.36
209,Montpellier,1,0.92,13,5,4,11.30,1.88,Lyon,1,0.41,10,3,1,8.52,0.77
210,Dijon,1,0.68,13,7,7,10.74,0.61,Montpellier,1,1.54,13,6,5,6.12,2.15
211,Rennes,0,0.77,16,1,9,10.29,1.73,Montpellier,0,0.34,13,3,3,12.91,0.86
212,Montpellier,2,1.20,11,6,3,10.41,2.21,Caen,0,0.28,9,1,1,11.88,0.51
213,Nimes,1,0.49,12,5,5,6.81,1.03,Montpellier,1,0.73,11,4,8,2.77,1.57
214,Lille,0,1.05,12,3,4,10.30,1.71,Montpellier,0,0.65,8,2,4,40.11,0.94
215,Paris Saint Germain,5,3.81,18,9,21,8.42,2.78,Montpellier,1,1.02,15,7,4,20.18,0.16
216,Bordeaux,1,1.20,15,4,6,7.44,0.68,Montpellier,2,2.08,8,5,5,12.12,2.09
217,Montpellier,2,1.13,8,4,7,11.13,1.41,Angers,2,1.09,12,6,11,7.33,1.28
218,Lyon,3,2.62,23,13,10,7.18,2.59,Montpellier,2,0.74,10,4,1,16.46,0.29
219,Montpellier,2,2.22,17,7,9,12.45,2.64,Guingamp,0,0.49,8,3,1,18.44,0.24
220,Strasbourg,1,0.30,6,1,0,10.26,0.16,Montpellier,3,2.33,20,7,7,13.33,2.75
221,Montpellier,3,2.01,15,9,7,11.08,1.63,Paris Saint Germain,2,1.62,8,3,15,9.06,1.08
222,Montpellier,1,0.56,13,4,6,7.83,1.65,Amiens,1,0.18,4,1,3,6.21,0.82
223,Saint-Etienne,0,0.77,16,5,3,9.88,0.71,Montpellier,1,1.54,11,4,5,12.68,2.04
224,Dijon,0,0.90,15,2,9,8.50,0.98,Caen,2,1.25,9,4,3,12.80,1.71
225,Dijon,1,1.30,13,3,5,6.77,1.14,Angers,3,1.55,14,6,6,12.70,1.57
