,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
131,Fortuna Duesseldorf,4,2.90,20,9,8,13.21,2.59,Hertha Berlin,1,0.96,10,6,3,13.15,0.28
132,Fortuna Duesseldorf,0,1.11,20,7,6,16.41,1.41,Mainz 05,1,1.03,15,3,8,22.69,1.28
133,Werder Bremen,3,2.84,22,9,5,5.26,2.43,Fortuna Duesseldorf,1,1.38,12,3,4,19.57,0.40
134,Fortuna Duesseldorf,2,2.60,21,8,14,16.72,2.55,Freiburg,0,0.80,6,2,6,8.43,0.32
135,Fortuna Duesseldorf,2,1.37,8,3,1,23.56,1.40,Borussia Dortmund,1,1.30,10,3,12,7.80,1.28
136,Hannover 96,0,0.67,17,3,5,6.31,0.92,Fortuna Duesseldorf,1,1.13,14,6,5,10.22,1.76
137,Augsburg,1,0.87,13,6,3,12.78,1.21,Fortuna Duesseldorf,2,1.04,11,3,3,16.82,1.46
138,Fortuna Duesseldorf,0,0.29,10,0,2,11.73,0.21,RasenBallsport Leipzig,4,2.03,12,9,3,10.73,2.68
139,Fortuna Duesseldorf,3,1.65,15,6,7,11.96,1.72,VfB Stuttgart,0,1.18,15,2,5,8.52,1.02
140,Bayer Leverkusen,2,1.90,13,7,6,8.31,2.69,Fortuna Duesseldorf,0,0.21,3,0,0,35.81,0.19
141,Fortuna Duesseldorf,2,1.55,18,7,11,5.36,2.58,Nuernberg,1,0.11,6,2,0,27.27,0.23
142,Fortuna Duesseldorf,0,0.84,6,3,3,16.56,0.18,Eintracht Frankfurt,3,2.76,15,6,2,8.93,2.72
143,Fortuna Duesseldorf,3,1.67,8,4,4,22.67,1.65,B. Monchengladbach,1,1.34,14,6,9,6.87,1.08
144,Hertha Berlin,1,1.90,13,3,7,6.74,0.82,Fortuna Duesseldorf,2,2.73,15,7,4,16.41,1.96
145,Mainz 05,3,3.24,20,5,7,8.09,1.87,Fortuna Duesseldorf,1,2.53,16,7,4,14.33,0.90
146,Fortuna Duesseldorf,4,2.07,12,6,6,20.92,0.91,Werder Bremen,1,2.74,18,9,16,12.95,1.88
147,Freiburg,1,1.26,10,3,0,16.91,1.70,Fortuna Duesseldorf,1,0.91,13,3,8,12.94,0.97
148,Borussia Dortmund,3,2.04,15,5,9,10.65,1.31,Fortuna Duesseldorf,2,2.08,8,3,4,20.95,1.42
149,Fortuna Duesseldorf,2,2.17,15,7,14,7.85,2.28,Hannover 96,1,1.04,14,3,5,12.46,0.51
150,Augsburg,1,1.75,18,7,5,11.85,1.70,B. Monchengladbach,1,1.31,7,2,9,12.92,1.03
151,Mainz 05,2,2.81,22,7,8,6.89,2.64,Augsburg,1,0.74,14,4,4,7.63,0.25
152,Augsburg,2,2.11,21,7,8,8.14,1.87,Werder Bremen,3,1.39,12,7,6,12.71,0.90
153,Augsburg,4,4.38,22,10,10,8.54,2.80,Freiburg,1,1.62,13,6,3,12.89,0.14
154,Borussia Dortmund,4,2.10,20,8,8,23.83,0.76,Augsburg,3,3.19,12,6,7,9.42,2.06
155,Augsburg,0,0.27,6,0,1,4.70,0.55,RasenBallsport Leipzig,0,1.10,18,4,7,5.35,2.15
156,Hannover 96,1,0.62,17,4,6,4.67,0.61,Augsburg,2,1.46,9,4,2,7.63,2.14
157,Augsburg,2,2.62,16,4,7,7.57,2.25,Nuernberg,2,1.38,15,5,6,11.27,0.57
158,Augsburg,1,2.01,25,10,14,7.67,0.70,Eintracht Frankfurt,3,3.22,15,7,10,14.16,2.12
159,VfB Stuttgart,1,0.71,14,3,2,15.06,0.64,Augsburg,0,1.65,18,4,4,6.45,2.12
160,Bayer Leverkusen,1,1.54,21,7,13,6.26,1.98,Augsburg,0,0.77,14,1,2,9.78,0.76
161,Hertha Berlin,2,1.75,18,7,6,7.73,2.19,Augsburg,2,0.73,9,2,3,6.23,0.58
162,B. Monchengladbach,2,2.08,14,6,9,16.07,2.43,Augsburg,0,0.78,4,1,4,13.26,0.37
