,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
109,Bologna,0,0.24,5,2,1,24.47,0.29,Napoli,3,1.65,17,7,10,6.95,2.54
110,Napoli,6,5.46,27,14,13,7.90,3.00,Benevento,0,0.21,6,0,1,81.29,0.00
111,Lazio,1,0.28,4,2,3,46.91,0.07,Napoli,4,2.65,17,11,8,9.06,2.89
112,SPAL 2013,2,0.26,6,2,2,21.57,0.24,Napoli,3,1.91,21,12,8,11.96,2.61
113,Roma,0,0.33,10,2,3,15.64,0.45,Napoli,1,1.49,16,6,6,15.82,2.32
114,Napoli,0,1.21,13,4,9,8.49,2.08,Inter,0,0.44,11,2,5,25.67,0.63
115,Genoa,2,1.28,8,4,4,97.33,1.47,Napoli,3,1.19,19,6,7,12.65,1.20
116,Napoli,3,2.98,26,9,13,4.81,2.88,Sassuolo,1,0.34,7,1,1,17.65,0.07
117,Chievo,0,0.65,3,1,2,28.19,1.31,Napoli,0,0.71,19,5,6,10.07,1.30
118,Napoli,2,1.55,16,10,9,13.64,2.39,AC Milan,1,0.31,13,3,2,18.69,0.40
119,Udinese,0,0.32,10,2,2,14.89,0.21,Napoli,1,1.70,9,4,6,7.71,2.66
120,Napoli,0,0.99,10,4,10,9.37,2.10,Fiorentina,0,0.21,6,3,6,23.69,0.55
121,Torino,1,0.73,8,2,6,17.31,0.36,Napoli,3,2.32,12,4,12,9.43,2.48
122,Napoli,3,2.47,14,9,7,14.69,2.62,Sampdoria,2,0.94,6,2,3,8.38,0.24
123,Crotone,0,0.09,5,2,0,17.79,0.32,Napoli,1,1.38,23,7,9,6.67,2.43
124,Atalanta,0,0.44,9,3,5,13.23,0.72,Napoli,1,1.11,12,3,7,6.89,1.96
125,Napoli,3,1.37,9,4,6,13.24,1.58,Bologna,1,1.10,9,4,2,25.67,1.07
126,Benevento,0,1.07,14,4,3,22.29,0.57,Napoli,2,2.23,17,5,14,9.62,2.22
127,Napoli,4,2.04,17,7,7,8.07,2.33,Lazio,1,0.79,5,1,0,16.36,0.46
