,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
30,cat34,1.0,,69,1,,4,,4,6,4,3,0,1,,1,2,,Metz,,,14.05.2017 21:00,Ligue 1 - Round 37,cat34,2.0,,31,5,,1,,6,6,13,2,1,0,,4,4,,Toulouse,,,14.05.2017 21:00,Ligue 1 - Round 37
31,cat35,1.0,,47,3,,2,,12,7,10,2,1,2,,3,4,,Metz,,,14.05.2017 21:00,Ligue 1 - Round 37,cat35,2.0,,53,1,,2,,7,13,4,3,0,0,,1,2,,Toulouse,,,14.05.2017 21:00,Ligue 1 - Round 37
32,cat36,1.0,,38,2,,3,,10,7,7,2,0,4,,3,2,,Monaco,,,14.05.2017 21:00,Ligue 1 - Round 37,cat36,2.0,,62,3,,2,,5,13,6,0,0,2,,1,2,,Lille,,,14.05.2017 21:00,Ligue 1 - Round 37
33,cat37,1.0,,52,1,,3,,7,6,4,2,2,0,,2,1,,Monaco,,1,14.05.2017 21:00,Ligue 1 - Round 37,cat37,2.0,,48,4,,5,,5,8,9,-1,0,1,,3,2,,Lille,,2,14.05.2017 21:00,Ligue 1 - Round 37
34,cat38,1.0,,42,3,,4,,7,6,8,2,1,1,,3,2,,Montpellier,,2,14.05.2017 21:00,Ligue 1 - Round 37,cat38,2.0,,58,0,,0,,4,9,7,1,2,2,,3,4,,Lyon,,1,14.05.2017 21:00,Ligue 1 - Round 37
35,cat39,1.0,,52,1,,0,,9,6,7,1,0,4,,4,2,,Montpellier,,1,14.05.2017 21:00,Ligue 1 - Round 37,cat39,2.0,,48,1,,1,,6,13,7,2,1,0,,4,2,,Lyon,,0,14.05.2017 21:00,Ligue 1 - Round 37
36,cat40,1.0,,63,0,,4,,5,11,6,0,1,0,,5,1,,Nantes,,2,14.05.2017 21:00,Ligue 1 - Round 37,cat40,2.0,,37,0,,4,,8,6,0,0,0,3,,0,0,,Guingamp,,3,14.05.2017 21:00,Ligue 1 - Round 37
37,cat41,1.0,,45,2,,5,,1,4,9,1,3,0,,2,5,,Nantes,,0,14.05.2017 21:00,Ligue 1 - Round 37,cat41,2.0,,55,2,,2,,2,1,8,2,1,2,,4,2,,Guingamp,,1,14.05.2017 21:00,Ligue 1 - Round 37
38,cat42,1.0,,66,3,,4,,5,5,5,3,0,2,,0,2,,Nice,,1,14.05.2017 21:00,Ligue 1 - Round 37,cat42,2.0,,34,2,,2,,2,7,9,2,1,2,,3,4,,Angers,,1,14.05.2017 21:00,Ligue 1 - Round 37
39,cat43,1.0,,58,1,,3,,5,7,7,1,0,0,,3,3,,Nice,,,14.05.2017 21:00,Ligue 1 - Round 37,cat43,2.0,,42,2,,2,,4,6,6,3,1,3,,2,2,,Angers,,,14.05.2017 21:00,Ligue 1 - Round 37
40,cat44,1.0,,22,0,,2,,4,4,5,1,0,3,,4,1,,St Etienne,,1,14.05.2017 21:00,Ligue 1 - Round 37,cat44,2.0,,78,1,,4,,4,6,7,1,2,0,,3,3,,Paris SG,,0,14.05.2017 21:00,Ligue 1 - Round 37
41,cat45,1.0,,42,1,,3,,5,2,5,5,0,1,,3,1,,St Etienne,,0,14.05.2017 21:00,Ligue 1 - Round 37,cat45,2.0,,58,2,,4,,1,7,14,1,3,1,,4,8,,Paris SG,,1,14.05.2017 21:00,Ligue 1 - Round 37
42,cat46,1.0,,48,3,,3,,6,4,8,2,1,0,,2,3,,Marseille,,1,07.05.2017 21:00,Ligue 1 - Round 36,cat46,2.0,,52,2,,5,,3,6,9,2,0,1,,5,2,,Nice,,0,07.05.2017 21:00,Ligue 1 - Round 36
43,cat47,1.0,,41,2,,1,,9,7,10,2,1,1,,4,4,,Marseille,,4,07.05.2017 21:00,Ligue 1 - Round 36,cat47,2.0,,59,2,,0,,5,10,8,3,1,1,,3,3,,Nice,,1,07.05.2017 21:00,Ligue 1 - Round 36
44,cat48,1.0,,60,4,,4,,5,11,8,0,0,5,,2,2,,Lyon,,0,07.05.2017 17:00,Ligue 1 - Round 36,cat48,2.0,,40,1,,3,,11,10,2,2,1,0,,0,1,,Nantes,,1,07.05.2017 17:00,Ligue 1 - Round 36
45,cat49,1.0,,58,3,,5,,5,7,8,0,3,0,,0,5,,Lyon,,0,07.05.2017 17:00,Ligue 1 - Round 36,cat49,2.0,,42,1,,2,,9,5,3,2,1,0,,1,1,,Nantes,,1,07.05.2017 17:00,Ligue 1 - Round 36
46,cat50,1.0,,48,2,,1,,5,4,6,0,0,2,,1,3,,Rennes,,1,07.05.2017 15:00,Ligue 1 - Round 36,cat50,2.0,,52,1,,3,,4,7,3,3,0,0,,2,0,,Montpellier,,1,07.05.2017 15:00,Ligue 1 - Round 36
47,cat51,1.0,,36,0,,1,,8,5,4,1,1,0,,3,1,,Rennes,,2,07.05.2017 15:00,Ligue 1 - Round 36,cat51,2.0,,64,1,,3,,5,8,3,0,0,0,,1,1,,Montpellier,,1,07.05.2017 15:00,Ligue 1 - Round 36
48,cat52,1.0,,42,1,,3,,9,7,7,3,0,1,,3,3,,Guingamp,,,06.05.2017 20:00,Ligue 1 - Round 36,cat52,2.0,,58,2,,5,,8,11,9,2,0,0,,4,3,,Dijon,,,06.05.2017 20:00,Ligue 1 - Round 36
49,cat53,1.0,,42,0,,6,,4,3,7,2,3,1,,2,5,,Guingamp,,,06.05.2017 20:00,Ligue 1 - Round 36,cat53,2.0,,58,5,,10,,4,5,11,2,0,0,,4,2,,Dijon,,,06.05.2017 20:00,Ligue 1 - Round 36
50,cat54,1.0,,71,1,,5,,5,5,6,0,0,0,,5,0,,Lille,,,06.05.2017 20:00,Ligue 1 - Round 36,cat54,2.0,,29,0,,0,,5,6,1,0,1,0,,0,1,,Metz,,,06.05.2017 20:00,Ligue 1 - Round 36
51,cat55,1.0,,67,1,,6,,9,6,6,1,0,0,,5,0,,Lille,,1,06.05.2017 20:00,Ligue 1 - Round 36,cat55,2.0,,33,0,,2,,4,9,6,0,1,1,,4,2,,Metz,,0,06.05.2017 20:00,Ligue 1 - Round 36
