,H_DATETIME,H_GAMEINFO,H_TEAMNAMES,H_GOALS,H_BALL_POSSESSION,H_GOAL_ATTEMPTS,H_SHOTS_ON_GOAL,H_SHOTS_OFF_GOAL,H_BLOCKED_SHOTS,H_FREE_KICKS,H_CORNER_KICKS,H_OFFSIDES,H_GOALKEEPER_SAVES,H_FOULS,H_YELLOW_CARDS,H_RED_CARDS,H_TOTAL_PASSES,H_COMPLETED_PASSES,H_TACKLES,H_ATTACKS,H_DANGEROUS_ATTACKS,A_DATETIME,A_GAMEINFO,A_TEAMNAMES,A_GOALS,A_BALL_POSSESSION,A_GOAL_ATTEMPTS,A_SHOTS_ON_GOAL,A_SHOTS_OFF_GOAL,A_BLOCKED_SHOTS,A_FREE_KICKS,A_CORNER_KICKS,A_OFFSIDES,A_GOALKEEPER_SAVES,A_FOULS,A_YELLOW_CARDS,A_RED_CARDS,A_TOTAL_PASSES,A_COMPLETED_PASSES,A_TACKLES,A_ATTACKS,A_DANGEROUS_ATTACKS,H_CAT,GAMEURL,H_CLEARANCES_TOTAL,A_CROSSES,H_SHOTS_OUTSIDE_THE_BOX,H_HIT_THE_WOODWORK,A_CLEARANCES_TOTAL,H_PASSES_IN_THE_FINAL_THIRD,A_HIT_THE_WOODWORK,A_TOUCHES_IN_THE_OPPOSITION_BOX,H_THROWINS,A_THROWINS,H_SHOTS_INSIDE_THE_BOX,A_SHOTS_INSIDE_THE_BOX,H_CROSSES,A_SHOTS_OUTSIDE_THE_BOX,A_INTERCEPTIONS,H_TOUCHES_IN_THE_OPPOSITION_BOX,A_BIG_CHANCES,A_PASSES_IN_THE_FINAL_THIRD,H_EXPECTED_GOALS_XG,H_INTERCEPTIONS,H_BIG_CHANCES,A_EXPECTED_GOALS_XG,H_HEADED_GOALS,A_HEADED_GOALS,HALFTIME
46,10.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 20",Lazio,0,31,5,2,1,2,8,2,0.0,2,8,4.0,1.0,110,69,57.0,,,10.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 20",Como,1,69,10,3,6,1,8,5,0.0,2,8,2.0,0.0,,,75.0,,,2,https://www.flashscore.com/match/4tuOUFgD/#/match-summary/match-statistics/2,11,44.0,1,0,8,48.0,0,16,7,9,4,8,33.0,2,5,14,1,81.0,0.27,10,1,0.91,0,1,2.0
47,05.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 19",AS Roma,2,41,6,4,1,1,9,2,0.0,1,5,1.0,,180,162,71.0,,,05.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 19",Lazio,0,59,6,1,2,3,5,1,0.0,2,9,3.0,,,,100.0,,,1,https://www.flashscore.com/match/zsijtkdc/#/match-summary/match-statistics/1,5,38.0,1,0,3,62.0,0,11,4,8,5,5,17.0,1,1,6,0,81.0,0.92,4,1,0.35,,,1.0
48,05.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 19",AS Roma,0,26,1,1,0,0,9,1,0.0,5,7,3.0,0.0,92,60,50.0,,,05.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 19",Lazio,0,74,11,5,2,4,7,9,2.0,1,9,2.0,1.0,,,0.0,,,2,https://www.flashscore.com/match/zsijtkdc/#/match-summary/match-statistics/2,28,17.0,0,0,3,45.0,1,15,3,6,1,6,0.0,5,4,4,2,88.0,0.17,5,1,0.56,,,2.0
49,05.01.2025 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 19",Torino,0,59,5,3,1,1,4,4,2.0,2,3,1.0,,278,230,75.0,,,05.01.2025 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 19",Parma,0,41,3,2,1,0,3,4,1.0,3,4,1.0,,,,33.0,,,1,https://www.flashscore.com/match/W8pavTQ9/#/match-summary/match-statistics/1,9,0.0,0,0,18,65.0,0,5,10,5,5,0,14.0,3,7,15,0,56.0,0.58,1,1,0.09,,,1.0
50,05.01.2025 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 19",Torino,0,63,7,1,2,4,5,4,2.0,1,6,1.0,,287,244,71.0,,,05.01.2025 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 19",Parma,0,37,7,1,5,1,6,3,0.0,1,5,0.0,,,,29.0,,,2,https://www.flashscore.com/match/W8pavTQ9/#/match-summary/match-statistics/2,6,29.0,3,0,28,69.0,1,6,20,5,4,1,6.0,6,3,18,0,63.0,0.55,1,0,0.30,,,2.0
51,05.01.2025 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 19",Lecce,0,61,4,1,2,1,9,2,0.0,0,6,,,273,228,88.0,,,05.01.2025 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 19",Genoa,0,39,2,0,2,0,6,1,0.0,1,9,,,,,17.0,,,1,https://www.flashscore.com/match/O2NXN7tT/#/match-summary/match-statistics/1,4,25.0,1,1,13,58.0,2,6,13,10,3,2,17.0,0,5,13,1,61.0,0.13,2,0,0.98,,,1.0
52,05.01.2025 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 19",Lecce,0,65,6,2,2,2,6,7,1.0,1,5,0.0,,261,214,63.0,,,05.01.2025 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 19",Genoa,0,35,2,1,0,1,5,3,1.0,2,6,1.0,,,,46.0,,,2,https://www.flashscore.com/match/O2NXN7tT/#/match-summary/match-statistics/2,8,0.0,2,0,25,76.0,0,10,11,8,4,1,33.0,1,7,19,0,58.0,0.34,6,0,0.10,,,2.0
53,05.01.2025 11:30,"FOOTBALL
ITALY: SERIE A - ROUND 19",Monza,1,49,3,1,2,0,6,0,1.0,2,9,1.0,,193,153,50.0,,,05.01.2025 11:30,"FOOTBALL
ITALY: SERIE A - ROUND 19",Cagliari,1,51,9,3,3,3,9,2,0.0,0,6,1.0,,,,63.0,,,1,https://www.flashscore.com/match/8za4Io4j/#/match-summary/match-statistics/1,9,31.0,1,0,7,74.0,1,16,8,8,2,8,0.0,1,4,8,0,67.0,1.14,7,1,0.46,,,1.0
54,05.01.2025 11:30,"FOOTBALL
ITALY: SERIE A - ROUND 19",Monza,0,58,3,1,2,0,13,1,1.0,0,7,1.0,1.0,212,158,60.0,,,05.01.2025 11:30,"FOOTBALL
ITALY: SERIE A - ROUND 19",Cagliari,1,42,4,1,2,1,7,1,2.0,1,13,1.0,0.0,,,38.0,,,2,https://www.flashscore.com/match/8za4Io4j/#/match-summary/match-statistics/2,7,0.0,1,0,17,59.0,1,9,13,10,2,3,9.0,1,0,8,0,45.0,0.44,4,1,0.23,,,2.0
55,04.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 19",Verona,0,41,5,1,1,3,8,5,2.0,1,10,1.0,,146,113,71.0,,,04.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 19",Udinese,0,59,4,1,2,1,10,2,0.0,1,8,1.0,,,,44.0,,,1,https://www.flashscore.com/match/zTBHRks4/#/match-summary/match-statistics/1,8,14.0,3,0,12,47.0,0,6,8,8,2,0,20.0,4,1,4,0,60.0,0.16,4,0,0.15,,,1.0
