,H_datetime,H_Gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat,gameurl
153,29.09.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Ath Bilbao,1,43,7,3,3,1,3,2,2,0,1,,,,,,,,29.09.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Sevilla,0,57,3,0,2,1,3,3,2,2,1,,,,,,,,cat153,https://www.flashscore.com/match/jyEMLeal/#/match-summary/match-statistics/1
154,29.09.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Betis,1,59,8,5,3,0,15,5,0,1,9,2,,,,,,,29.09.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Espanyol,0,41,5,1,2,2,9,2,1,4,11,3,,,,,,,cat154,https://www.flashscore.com/match/4rQsoH7m/#/match-summary/match-statistics/2
155,29.09.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Betis,0,47,12,7,2,3,8,3,0,0,5,0,,,,,,,29.09.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Espanyol,0,53,3,0,1,2,4,2,0,7,9,1,,,,,,,cat155,https://www.flashscore.com/match/4rQsoH7m/#/match-summary/match-statistics/1
156,29.09.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Atl. Madrid,1,56,8,2,2,4,3,4,2,1,6,3,1,,,,,,29.09.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Real Madrid,1,44,8,2,4,2,9,3,0,1,4,0,0,,,,,,cat156,https://www.flashscore.com/match/n37VJZT0/#/match-summary/match-statistics/2
157,29.09.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Atl. Madrid,0,46,4,2,0,2,8,1,0,2,5,0,,,,,,,29.09.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Real Madrid,0,54,4,2,1,1,5,2,0,2,7,1,,,,,,,cat157,https://www.flashscore.com/match/n37VJZT0/#/match-summary/match-statistics/1
158,30.09.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Villarreal,2,42,10,4,1,5,6,1,3,0,10,0,,,,,,,30.09.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Las Palmas,1,58,3,1,2,0,16,0,1,2,7,2,,,,,,,cat158,https://www.flashscore.com/match/YJVCWCD6/#/match-summary/match-statistics/2
159,30.09.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Villarreal,1,42,10,3,2,5,5,2,2,2,5,0,,,,,,,30.09.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Las Palmas,0,58,4,2,1,1,7,2,0,2,4,1,,,,,,,cat159,https://www.flashscore.com/match/YJVCWCD6/#/match-summary/match-statistics/1
160,04.10.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Leganes,0,62,7,0,4,3,5,1,4,1,8,1,,,,,,,04.10.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Valencia,0,38,5,1,3,1,14,0,0,0,5,1,,,,,,,cat160,https://www.flashscore.com/match/QmPfsURO/#/match-summary/match-statistics/2
161,04.10.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Leganes,0,56,1,0,0,1,11,0,5,0,7,1,,,,,,,04.10.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Valencia,0,44,1,0,1,0,14,2,1,0,9,1,,,,,,,cat161,https://www.flashscore.com/match/QmPfsURO/#/match-summary/match-statistics/1
162,05.10.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Espanyol,1,33,2,2,0,0,10,1,0,3,7,1,,,,,,,05.10.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Mallorca,1,67,10,4,3,3,6,5,0,1,11,5,,,,,,,cat0,https://www.flashscore.com/match/0AJjqex0/#/match-summary/match-statistics/2
