,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
253,Roma,1,1.42,21,6,15,3.90,1.62,Cagliari,1,1.03,8,2,4,43.38,1.07
254,Sampdoria,0,0.63,11,4,6,13.78,1.46,Roma,0,0.44,9,1,5,7.59,1.10
255,Roma,3,2.52,26,6,14,7.37,2.81,Brescia,0,0.31,8,2,4,15.81,0.12
256,Inter,0,2.08,9,2,9,7.47,2.71,Roma,0,0.21,6,2,5,14.46,0.17
257,Roma,3,3.70,25,10,12,9.85,2.83,SPAL 2013,1,1.11,7,3,1,16.26,0.11
258,Roma,0,1.95,31,7,9,6.52,1.11,Torino,2,2.29,12,6,2,10.36,1.66
259,Genoa,1,1.17,9,4,8,13.43,0.39,Roma,3,2.76,15,6,9,7.10,2.47
260,Roma,1,2.13,22,3,11,7.50,2.12,Lazio,1,1.14,6,2,1,21.78,0.62
261,Sassuolo,4,2.43,18,10,11,19.60,1.07,Roma,2,2.85,18,9,8,5.41,1.69
262,Atalanta,2,1.59,13,6,4,8.26,2.57,Roma,1,0.30,8,1,3,13.95,0.26
263,Roma,4,3.81,26,11,16,19.00,2.91,Lecce,0,0.58,14,3,7,19.63,0.06
264,Cagliari,3,1.10,7,6,5,8.83,0.38,Roma,4,2.61,19,11,7,16.53,2.45
265,Roma,2,2.14,24,9,14,16.33,2.00,Sampdoria,1,1.24,15,9,4,24.67,0.78
266,Brescia,0,1.42,11,4,3,11.58,0.40,Roma,3,3.13,19,6,10,7.77,2.45
267,Roma,2,1.44,7,3,7,18.05,1.25,Inter,2,1.53,8,3,6,12.06,1.42
268,SPAL 2013,1,0.51,11,4,5,8.68,0.42,Roma,6,1.79,18,9,7,13.95,2.38
269,Torino,2,0.97,9,4,4,18.13,0.38,Roma,3,2.42,15,6,7,9.03,2.45
270,Genoa,1,1.35,16,3,3,7.73,0.62,Atalanta,2,2.43,18,6,10,12.25,2.16
271,Cagliari,3,1.25,13,4,3,12.90,1.08,Genoa,1,1.61,11,2,11,10.29,1.65
272,Lazio,4,1.62,15,10,17,12.00,1.86,Genoa,0,1.00,13,6,5,24.29,0.86
273,Genoa,3,1.12,17,10,8,4.65,1.25,Brescia,1,1.17,7,2,4,14.12,1.44
274,SPAL 2013,1,2.44,16,6,2,13.64,1.95,Genoa,1,1.72,14,5,8,8.47,0.82
275,Genoa,0,0.93,13,1,7,4.77,1.57,Torino,1,0.66,12,3,3,8.73,1.08
276,Lecce,2,0.86,22,5,9,6.47,0.34,Genoa,2,2.56,14,4,10,5.78,2.53
277,Genoa,0,0.95,9,1,0,4.80,2.09,Sampdoria,1,0.24,5,1,1,10.71,0.57
278,Inter,4,2.34,17,9,6,8.95,2.77,Genoa,0,0.29,9,3,1,21.14,0.14
279,Genoa,2,3.10,15,6,9,8.59,2.79,Sassuolo,1,0.86,11,3,12,5.74,0.13
280,Atalanta,2,2.71,24,8,7,5.28,2.22,Genoa,2,1.52,11,5,3,9.07,0.58
281,Genoa,1,1.24,13,5,6,5.92,1.58,Cagliari,0,0.96,10,4,4,8.69,1.12
282,Genoa,2,1.15,13,6,14,10.64,1.03,Lazio,3,1.56,12,7,9,16.47,1.67
283,Brescia,2,1.50,10,4,7,15.07,0.71,Genoa,2,2.33,17,7,8,8.32,2.04
284,Genoa,2,2.81,16,8,11,8.00,2.96,SPAL 2013,0,0.04,3,0,4,10.92,0.02
285,Torino,3,1.42,12,5,3,8.71,1.70,Genoa,0,1.07,14,5,4,7.88,1.01
286,Genoa,2,0.45,10,3,7,14.60,0.37,Lecce,1,1.70,18,1,5,12.65,2.44
287,Sampdoria,1,0.96,16,6,9,14.33,1.26,Genoa,2,0.94,8,5,2,15.00,1.37
288,Genoa,0,0.40,9,2,5,10.90,0.23,Inter,3,2.09,12,4,9,9.43,2.65
289,Sassuolo,5,3.05,18,8,15,11.41,2.53,Genoa,0,1.11,13,2,5,27.21,0.35
290,Sampdoria,0,0.63,16,8,7,10.08,0.61,Lazio,3,1.54,17,10,4,11.73,2.14
